60 2
35 1
2E 0
00 0
49 6
64 5
41 4
3E 3
38 A
2A 9
2D 8
47 7
40 E
7D D
65 C
45 B
46 12
52 11
44 10
42 F
5D 16
77 15
7A 14
6B 13
72 1A
67 19
59 18
5A 17
71 1E
31 1D
6D 1C
73 1B
33 22
7C 21
32 20
5C 1F
4B 26
28 25
6A 24
4A 23
21 2A
20 29
58 28
75 27
76 2E
5F 2D
3A 2C
27 2B
66 32
57 31
61 30
36 2F
43 36
22 35
79 34
7B 33
3C 3A
4C 39
2B 38
3B 37
4F 3E
48 3D
34 3C
53 3B
24 42
3F 41
30 40
5B 3F
2F 46
25 45
68 44
62 43
54 4A
6F 49
74 48
4D 47
29 4E
4E 4D
2C 4C
39 4B
78 52
3D 51
6C 50
26 4F
5E 56
56 55
70 54
55 53
23 5A
6E 59
7E 58
37 57
50 5E
51 5D
69 5C
63 5B
